香港中华煤气有限公司,HKCGAS 3.76 08/26/25,-,3.76,-,380.00 百万,2022/8/26,--,--,产业债,104326,2025/8/26
联想集团有限公司,LENOVO 2.5 08/26/29,100.35,2.5,-,675.00 百万,2022/8/26,--,2026/8/26,产业债,104334,2029/8/26
海通国际证券集团有限公司,HTISEC 4.1 08/24/23,-,4.1,-,51.00 百万,2022/8/26,--,--,金融债,104337,2023/8/24
常德市城市建设投资集团有限公司,CHADEC 5.7 08/26/25,-,5.7,-,200.00 百万,2022/8/26,根据可持续发展融资框架，对部分现有债务和符合条件的项目进行再融资,--,城投债,104354,2025/8/26
国泰君安国际控股有限公司,GUOTJU 3.95 08/24/23,-,3.95,-,50.00 百万,2022/8/26,--,--,金融债,104355,2023/8/24
西安未央城市建设集团有限公司,WYURBN 5.1 08/24/25,-,5.1,-,74.50 百万,2022/8/24,用于项目建设和补充运营资金,--,城投债,104325,2025/8/24
龙南旅游发展投资(集团)有限责任公司,LTDIGC 6 07/24/25,-,6,-,96.00 百万,2022/8/24,为建设项目进行融资，和用于一般公司用途,--,城投债,104327,2025/7/24
海通国际证券集团有限公司,HTISEC 4.25 08/23/23,-,4.25,-,20.00 百万,2022/8/24,--,--,金融债,104336,2023/8/23
中华人民共和国,PBOCIN 1.9 11/23/22,-,1.9,-,10000.00 百万,2022/8/24,--,--,政府债,104356,2022/11/23
中华人民共和国,PBOCIN 2.3 08/24/23,-,2.3,-,15000.00 百万,2022/8/24,--,--,政府债,104357,2023/8/24
中华人民共和国(香港特区政府),HKGB 2.84 08/22/24,-,2.84,-,1200.00 百万,2022/8/22,--,--,政府债,104295,2024/8/22
中国国际金融(国际)有限公司,CICCHK 1.2 09/22/22,-,1.2,-,2.00 百万,2022/8/22,--,--,金融债,104298,2022/9/22
广州产业投资基金管理有限公司,HIGHKY 6 08/18/23,-,6,-,41.00 百万,2022/8/19,偿还离岸债务和一般企业用途,--,金融债,104296,2023/8/18
天津临港投资控股有限公司,TJHARB 5.5 08/19/25,-,5.5,-,41.00 百万,2022/8/19,再融资,--,城投债,104297,2025/8/19
东亚银行有限公司,KGIINT 0.01 02/21/23,-,0.01,-,1.00 百万,2022/8/19,--,--,金融债,104328,2023/2/21
中华人民共和国(香港特区政府),GBHK Float 08/18/23,-,O/N HONIA+45,-,1500.00 百万,2022/8/18,--,--,政府债,104273,2023/8/18
山东海运股份有限公司,SDSHIP 5 08/18/25,-,5,-,200.00 百万,2022/8/18,主要用于偿还2022年到期的离岸债务，剩余发行所得将用于补充流动性,--,产业债,104286,2025/8/18
海宁市城市发展投资集团有限公司,HNCDIN 3.8 08/18/25,-,3.8,-,1000.00 百万,2022/8/18,运营资本，项目融资,--,城投债,104288,2025/8/18
江苏句容投资集团有限公司,JSJRIG 3.5 08/18/25,-,3.5,-,46.50 百万,2022/8/18,运营资本，项目融资,--,城投债,104289,2025/8/18
安徽伯阳城建控股集团有限公司,BYURCN 5.5 08/18/25,-,5.5,-,50.00 百万,2022/8/18,一般业务用途，运营资本,--,城投债,104290,2025/8/18
无锡市城开实业发展集团有限公司,WXCKIN 2.95 08/17/25,-,2.95,-,160.00 百万,2022/8/17,为项目建设融资和补充运营资本,--,城投债,104283,2025/8/17
国家开发银行,SDBC 3 08/16/24,-,3,-,750.00 百万,2022/8/17,--,--,金融债,104291,2024/8/16
宿州市城市建设投资集团(控股)有限公司,SZCONS 5.5 08/16/25,-,5.5,-,100.00 百万,2022/8/16,为离岸债券进行再融资,--,城投债,104284,2025/8/16
滨州市滨城区经济开发投资有限公司,BIBIDI 4.8 08/16/25,-,4.8,-,28.20 百万,2022/8/16,为建设项目进行融资，补充集团营运资金和用于一般公司用途,--,城投债,104287,2025/8/16
香港机场管理局,HKAA 3.2 08/15/27,-,3.2,-,365.00 百万,2022/8/15,--,--,产业债,104266,2027/8/15
香港铁路有限公司,MTRC 3.25 08/15/24,-,3.25,-,500.00 百万,2022/8/15,--,--,产业债,104275,2024/8/15
绿景(中国)地产投资有限公司,LVGEM 6 08/11/23,-,6,-,174.60 百万,2022/8/12,一般业务用途，再融资,--,地产债,104277,2023/8/11
绿景(中国)地产投资有限公司,LVGEM 6 08/11/23,-,6,-,8.75 百万,2022/8/12,一般业务用途，再融资,--,地产债,104279,2023/8/11
邵东市城市发展集团有限公司,SDCDGP 3.2 08/12/25,-,3.2,-,147.00 百万,2022/8/12,一般业务用途，运营资本，项目融资,--,城投债,104280,2025/8/12
中华人民共和国,CGB 2.82 08/12/32,-,2.82,-,1000.00 百万,2022/8/12,--,--,政府债,104282,2032/8/12
蚌埠高新投资集团有限公司,BHHNIV 5.3 08/11/25,-,5.3,-,200.00 百万,2022/8/11,再融资,--,城投债,104270,2025/8/11
中信证券国际有限公司,CSILTD Float 02/11/23,-,O/N SOFR FLAT,-,5.00 百万,2022/8/11,--,--,金融债,104333,2023/2/11
丹阳投资集团有限公司,PHCIIL 6.4 08/10/25,90.055,6.4,10.384,205.00 百万,2022/8/10,未偿离岸债务再融资,--,城投债,104267,2025/8/10
华泰国际金融控股有限公司,HTIFIH 2 11/10/22,-,2,-,300.00 百万,2022/8/10,运营资本,--,金融债,104268,2022/11/10
华泰国际金融控股有限公司,HTIFIH 3 08/09/23,-,3,-,15.00 百万,2022/8/10,运营资本,--,金融债,104271,2023/8/9
华泰国际金融控股有限公司,HTIFIH 3 12/23/22,-,3,-,75.00 百万,2022/8/10,--,--,金融债,104272,2022/12/23
苏州工业园区国有资本投资运营控股有限公司,SIPPRO 3.6 08/10/32,-,3.6,-,300.00 百万,2022/8/10,用作项目建设和补充运营资本,2027/8/10,城投债,104278,2032/8/10
济南高新控股集团有限公司,JNHITE 5.5 08/09/25,100.406,5.5,5.348,300.00 百万,2022/8/9,为发行人2022年到期的离岸债券再融资，为建设项目融资和一般运营资本,--,城投债,104261,2025/8/9
宿州市城市建设投资集团(控股)有限公司,SZCONS 6 08/09/25,99.721,6,6.102,200.00 百万,2022/8/9,为公司离岸债务再融资,--,城投债,104263,2025/8/9
香港机场管理局,HKAA 3.3 08/08/27,-,3.3,-,575.00 百万,2022/8/8,--,--,产业债,104242,2027/8/8
绵阳市投资控股(集团)有限公司,MIANYA 6.7 08/08/25,100.675,6.7,6.443,300.00 百万,2022/8/8,为发行人的现有离岸债务进行再融资,--,城投债,104260,2025/8/8
武汉城市建设集团有限公司,BCHINA 2.25 07/09/24,-,2.25,-,2.75 百万,2022/8/5,--,--,城投债,104262,2024/7/9
绍兴市柯桥区建设集团有限公司,SXKEQO 4.35 08/04/25,-,4.35,-,1000.00 百万,2022/8/4,--,--,城投债,104253,2025/8/4
江苏句容投资集团有限公司,JSJRIG 2.9 08/04/25,-,2.9,-,135.00 百万,2022/8/4,运营资本，项目融资,--,城投债,104254,2025/8/4
中国银行股份有限公司,BCHINA 2.95 08/03/25,-,2.95,-,2500.00 百万,2022/8/3,一般公司用途,--,金融债,104244,2025/8/3
宁波市海曙开发建设投资集团有限公司,NBHSDC 3.1 08/02/25,-,3.1,-,90.00 百万,2022/8/2,用于项目建设和一般运营资本,--,城投债,104239,2025/8/2
泰兴市襟江投资有限公司,TXJJIN 3.5 07/02/25,-,3.5,-,30.00 百万,2022/8/2,补充运营资金,--,城投债,104240,2025/7/2
山东国惠投资控股集团有限公司,SHGUOH 5.3 08/01/25,-,5.3,-,110.00 百万,2022/8/1,用于偿还集团离岸债务和用于租赁项目,--,城投债,104237,2025/8/1
